date,home_team,away_team,neutral,tournament,result,H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
2000-06-21,Slovenia,Norway,True,UEFA Euro,D,6,2,2,2,2.1666666666666665,1.5,0.6666666666666666,1.3333333333333333,9,4,3,2,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,1,1
2000-06-23,Solomon Islands,Australia,True,Oceania Nations Cup,A,5,3,1,1,3.0,2.0,1.0,2.0,9,3,4,2,2.7777777777777777,0.7777777777777778,2.0,1.4444444444444444,1,1
2000-06-23,Gabon,Congo,False,Friendly,A,6,1,2,3,0.6666666666666666,1.5,-0.8333333333333334,0.8333333333333334,5,2,1,2,1.0,0.8,0.2,1.4,0,0
2000-06-24,Italy,Romania,True,UEFA Euro,H,7,5,0,2,1.2857142857142858,0.7142857142857143,0.5714285714285714,2.142857142857143,10,4,2,4,1.4,1.3,0.1,1.4,1,1
2000-06-25,Australia,Vanuatu,True,Oceania Nations Cup,H,10,4,4,2,3.1,0.7,2.4,1.6,8,3,0,5,2.125,2.0,0.125,1.125,1,1
2000-06-25,Gabon,Congo,False,Friendly,A,7,1,2,4,0.5714285714285714,1.5714285714285714,-1.0,0.7142857142857143,6,3,1,2,1.1666666666666667,0.6666666666666666,0.5,1.6666666666666667,0,0
2000-06-25,Lebanon,Kuwait,False,Friendly,H,8,2,5,1,0.875,0.625,0.25,1.375,6,5,1,0,6.333333333333333,0.3333333333333333,6.0,2.6666666666666665,0,0
2000-06-25,Netherlands,Serbia,False,UEFA Euro,H,8,6,2,0,2.0,0.875,1.125,2.5,8,4,3,1,1.5,1.0,0.5,1.875,0,1
2000-06-25,New Zealand,Solomon Islands,True,Oceania Nations Cup,H,6,2,1,3,1.0,0.8333333333333334,0.16666666666666666,1.1666666666666667,6,3,1,2,2.5,2.6666666666666665,-0.16666666666666666,1.6666666666666667,1,1
2000-06-25,Spain,France,True,UEFA Euro,A,8,5,2,1,1.625,0.75,0.875,2.125,9,7,1,1,2.4444444444444446,1.0,1.4444444444444444,2.4444444444444446,1,1
2000-06-28,Venezuela,Bolivia,False,FIFA World Cup qualification,H,5,1,1,3,0.6,2.0,-1.4,0.8,7,1,2,4,1.4285714285714286,1.2857142857142858,0.14285714285714285,0.7142857142857143,0,1
2000-06-28,Vanuatu,Solomon Islands,True,Oceania Nations Cup,A,9,3,0,6,1.8888888888888888,1.8888888888888888,0.0,1.0,7,3,1,3,2.142857142857143,2.5714285714285716,-0.42857142857142855,1.4285714285714286,1,1
2000-06-28,Tunisia,Algeria,False,Friendly,D,10,5,4,1,1.6,1.0,0.6,1.9,10,4,4,2,1.4,0.6,0.8,1.6,0,0
2000-06-28,Australia,New Zealand,True,Oceania Nations Cup,H,10,5,4,1,3.1,0.5,2.6,1.9,7,3,1,3,1.1428571428571428,0.7142857142857143,0.42857142857142855,1.4285714285714286,1,1
2000-06-28,France,Portugal,True,UEFA Euro,H,10,8,1,1,2.4,1.0,1.4,2.5,8,6,1,1,1.875,0.75,1.125,2.375,1,1
2000-06-29,Netherlands,Italy,False,UEFA Euro,D,9,7,2,0,2.4444444444444446,0.8888888888888888,1.5555555555555556,2.5555555555555554,8,6,0,2,1.375,0.625,0.75,2.25,0,1
